(25, 15) #///< Size
(0,  0) #///< Begin
(24,  14) #///< Goal
{ 
 0 0 0 0 0 0 0 0 2 0 /* x:10 */ 0 0 0 0 0 0 0 0 0 0 /* x:20 */ 1 0 0 0 0
 3 2 2 2 2 2 2 2 2 0 /* x:10 */ 0 0 0 0 0 0 0 0 0 0 /* x:20 */ 2 2 2 2 2
 0 2 0 0 0 0 0 0 2 0 /* x:10 */ 0 0 0 0 0 0 0 0 0 0 /* x:20 */ 2 0 0 0 0
 0 2 0 0 0 0 0 0 2 0 /* x:10 */ 0 0 0 0 0 0 0 0 0 0 /* x:20 */ 2 2 2 2 2
 0 2 0 0 0 0 0 0 2 0 /* x:10 */ 0 0 0 0 0 0 0 0 0 0 /* x:20 */ 2 0 0 0 0
 0 0 0 0 0 0 0 0 2 0 /* x:10 */ 2 2 2 2 2 2 2 2 2 2 /* x:20 */ 2 0 2 2 2
 0 0 0 0 0 0 0 0 2 0 /* x:10 */ 0 0 0 0 0 0 2 0 2 0 /* x:20 */ 2 0 0 0 0
 2 2 0 0 0 0 0 0 2 0 /* x:10 */ 0 0 0 0 0 0 2 0 3 0 /* x:20 */ 2 2 2 2 0
 0 2 0 0 0 0 0 0 2 0 /* x:10 */ 0 0 0 0 0 0 2 0 2 0 /* x:20 */ 2 0 0 0 0
 0 2 0 0 0 0 0 0 2 0 /* x:10 */ 0 0 2 0 0 0 2 0 2 0 /* x:20 */ 2 0 2 2 3
 0 2 2 2 2 2 2 0 2 0 /* x:10 */ 0 0 0 0 0 0 2 0 2 0 /* x:20 */ 2 0 0 2 3
/* y:10 */								  
 0 0 0 0 0 0 0 0 2 0 /* x:10 */ 0 0 0 0 0 0 2 0 2 2 /* x:20 */ 2 2 0 2 0
 0 0 0 0 0 0 0 0 2 0 /* x:10 */ 0 0 0 0 0 0 2 0 2 0 /* x:20 */ 0 0 0 2 0
 2 2 2 2 2 2 2 3 2 2 /* x:10 */ 2 2 2 2 2 0 2 0 3 0 /* x:20 */ 2 2 0 2 0
 0 0 0 0 0 0 0 0 2 0 /* x:10 */ 0 0 0 0 0 0 3 0 2 0 /* x:20 */ 0 0 0 2 0
}
[
	warp((7, 0), (24, 0)),
	warp((19, 10), (21, 2)),
	chest((21, 0), key),
	chest((0,8), key),
	chest((9, 14), key),
	chest((17, 6), key),
	chest((24, 2), key),
	chest((23, 2), key),
	chest((24, 4), key),
	chest((0, 14), pickaxe),
	goblin((2, 5), (2,2)),
	goblin((3,6),(3,9)),
	goblin((4,5),(4,2)),
	goblin((5,2),(5,9)),
	goblin((6,5),(6,2)),
	goblin((6,6),(6,9)),
	goblin((7,9),(7,2)),
	goblin((7,11),(0,11),(0,12),(7,12)),
	flamethrower((10, 5), (0, -1), 5, 6, 4),
	flamethrower((11, 5), (0, -1), 5, 6, 2),
	flamethrower((12, 5), (0, -1), 5, 6, 0),
	flamethrower((14, 5), (0, -1), 5, 3, 0),
	flamethrower((16, 5), (0, -1), 5, 3, 1),
	flamethrower((18, 5), (0, -1), 5, 3, 2),
	flamethrower((12, 9), (-1, -1), 3, 8, 0),
	flamethrower((12, 9), (0,  -1), 3, 8, 1),
	flamethrower((12, 9), (1,  -1), 3, 8, 2),
	flamethrower((12, 9), (1,   0), 3, 8, 3),
	flamethrower((12, 9), (1,   1), 3, 8, 4),
	flamethrower((12, 9), (0,   1), 3, 8, 5),
	flamethrower((12, 9), (-1,  1), 3, 8, 6),
	flamethrower((12, 9), (-1,  0), 3, 8, 7)
] #///< Entities
