(10, 7) #///< Size
(0,  6) #///< Begin
(9,  0) #///< Goal
{
0 0 0 2 2 0 2 0 0 0	
0 0 0 0 2 0 2 0 2 2
0 0 2 0 2 2 2 0 0 0	
0 0 2 0 2 0 2 0 0 0	
0 0 2 0 2 0 2 0 0 0	
0 0 2 0 2 0 2 2 2 0	
0 0 2 0 0 0 3 0 0 0	
}
[
	warp((4, 6), (5, 0)),
	chest((5, 3), key),
	goblin((0,2),(2,2)),
	goblin((2,4),(0,4)),
	goblin((0,5),(2,5)),
	flamethrower((3, 0), (0, 1), 6, 11, 0),
	flamethrower((5, 2), (0, 1), 3, 7, 0),
	flamethrower((8, 3), (0, 1), 1, 4, 0),
	flamethrower((8, 3), (1, 0), 1, 4, 1),
	flamethrower((8, 3), (0, -1), 1, 4, 2),
	flamethrower((8, 3), (-1, 0), 1, 4, 3)
] #///< Entities
